2016-06-08 20:30:20 status unpacked perl-base:amd64 5.20.2-3+deb8u5
2016-06-08 20:30:20 trigproc man-db:amd64 2.7.0.2-5 <ninguna>
2016-06-08 20:30:20 status half-configured man-db:amd64 2.7.0.2-5
2016-06-08 20:30:21 status installed man-db:amd64 2.7.0.2-5
2016-06-08 20:30:21 startup packages configure
2016-06-08 20:30:21 configure perl-base:amd64 5.20.2-3+deb8u5 <ninguna>
2016-06-08 20:30:21 status unpacked perl-base:amd64 5.20.2-3+deb8u5
2016-06-08 20:30:21 status half-configured perl-base:amd64 5.20.2-3+deb8u5
2016-06-08 20:30:21 status installed perl-base:amd64 5.20.2-3+deb8u5
2016-06-08 20:30:21 startup archives unpack
2016-06-08 20:30:21 upgrade perl-modules:all 5.20.2-3+deb8u4 5.20.2-3+deb8u5
2016-06-08 20:30:21 status half-configured perl-modules:all 5.20.2-3+deb8u4
2016-06-08 20:30:21 status unpacked perl-modules:all 5.20.2-3+deb8u4
2016-06-08 20:30:21 status half-installed perl-modules:all 5.20.2-3+deb8u4
2016-06-08 20:30:23 status half-installed perl-modules:all 5.20.2-3+deb8u4
2016-06-08 20:30:23 status unpacked perl-modules:all 5.20.2-3+deb8u5
2016-06-08 20:30:23 status unpacked perl-modules:all 5.20.2-3+deb8u5
2016-06-08 20:30:23 upgrade dmsetup:amd64 2:1.02.90-2.2 2:1.02.90-2.2+deb8u1
2016-06-08 20:30:23 status half-configured dmsetup:amd64 2:1.02.90-2.2
2016-06-08 20:30:23 status unpacked dmsetup:amd64 2:1.02.90-2.2
2016-06-08 20:30:23 status half-installed dmsetup:amd64 2:1.02.90-2.2
2016-06-08 20:30:23 status triggers-pending man-db:amd64 2.7.0.2-5
2016-06-08 20:30:23 status half-installed dmsetup:amd64 2:1.02.90-2.2
2016-06-08 20:30:23 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2016-06-08 20:30:23 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2016-06-08 20:30:23 trigproc man-db:amd64 2.7.0.2-5 <ninguna>
2016-06-08 20:30:23 status half-configured man-db:amd64 2.7.0.2-5
2016-06-08 20:30:24 status installed man-db:amd64 2.7.0.2-5
2016-06-08 20:30:24 startup packages configure
2016-06-08 20:30:24 configure dmsetup:amd64 2:1.02.90-2.2+deb8u1 <ninguna>
2016-06-08 20:30:24 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2016-06-08 20:30:24 status half-configured dmsetup:amd64 2:1.02.90-2.2+deb8u1
2016-06-08 20:30:24 status installed dmsetup:amd64 2:1.02.90-2.2+deb8u1
2016-06-08 20:30:24 status triggers-pending initramfs-tools:all 0.120+deb8u1
2016-06-08 20:30:24 trigproc initramfs-tools:all 0.120+deb8u1 <ninguna>
2016-06-08 20:30:24 status half-configured initramfs-tools:all 0.120+deb8u1
2016-06-08 20:30:27 status installed initramfs-tools:all 0.120+deb8u1
2016-06-08 20:30:27 startup archives unpack
2016-06-08 20:30:27 upgrade libdevmapper1.02.1:amd64 2:1.02.90-2.2 2:1.02.90-2.2+deb8u1
2016-06-08 20:30:27 status half-configured libdevmapper1.02.1:amd64 2:1.02.90-2.2
2016-06-08 20:30:27 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2
2016-06-08 20:30:27 status half-installed libdevmapper1.02.1:amd64 2:1.02.90-2.2
2016-06-08 20:30:27 status half-installed libdevmapper1.02.1:amd64 2:1.02.90-2.2
2016-06-08 20:30:27 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2016-06-08 20:30:27 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2016-06-08 20:30:27 startup packages configure
2016-06-08 20:30:27 configure libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1 <ninguna>
2016-06-08 20:30:27 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2016-06-08 20:30:27 status half-configured libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2016-06-08 20:30:27 status installed libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2016-06-08 20:30:27 status triggers-pending libc-bin:amd64 2.19-18+deb8u4
2016-06-08 20:30:27 trigproc libc-bin:amd64 2.19-18+deb8u4 <ninguna>
2016-06-08 20:30:27 status half-configured libc-bin:amd64 2.19-18+deb8u4
2016-06-08 20:30:27 status installed libc-bin:amd64 2.19-18+deb8u4
2016-06-08 20:30:27 startup archives unpack
2016-06-08 20:30:27 upgrade libssl-doc:all 1.0.1k-3+deb8u5 1.0.1t-1+deb8u2
2016-06-08 20:30:27 status half-configured libssl-doc:all 1.0.1k-3+deb8u5
2016-06-08 20:30:27 status unpacked libssl-doc:all 1.0.1k-3+deb8u5
2016-06-08 20:30:27 status half-installed libssl-doc:all 1.0.1k-3+deb8u5
2016-06-08 20:30:27 status triggers-pending man-db:amd64 2.7.0.2-5
2016-06-08 20:30:28 status half-installed libssl-doc:all 1.0.1k-3+deb8u5
2016-06-08 20:30:28 status unpacked libssl-doc:all 1.0.1t-1+deb8u2
2016-06-08 20:30:28 status unpacked libssl-doc:all 1.0.1t-1+deb8u2
2016-06-08 20:30:28 upgrade libssl-dev:amd64 1.0.1k-3+deb8u5 1.0.1t-1+deb8u2
2016-06-08 20:30:28 status half-configured libssl-dev:amd64 1.0.1k-3+deb8u5
2016-06-08 20:30:28 status unpacked libssl-dev:amd64 1.0.1k-3+deb8u5
2016-06-08 20:30:28 status half-installed libssl-dev:amd64 1.0.1k-3+deb8u5
2016-06-08 20:30:29 status half-installed libssl-dev:amd64 1.0.1k-3+deb8u5
2016-06-08 20:30:29 status unpacked libssl-dev:amd64 1.0.1t-1+deb8u2
2016-06-08 20:30:29 status unpacked libssl-dev:amd64 1.0.1t-1+deb8u2
2016-06-08 20:30:29 upgrade libssl1.0.0:amd64 1.0.1k-3+deb8u5 1.0.1t-1+deb8u2
2016-06-08 20:30:29 status half-configured libssl1.0.0:amd64 1.0.1k-3+deb8u5
2016-06-08 20:30:29 status unpacked libssl1.0.0:amd64 1.0.1k-3+deb8u5
2016-06-08 20:30:29 status half-installed libssl1.0.0:amd64 1.0.1k-3+deb8u5
2016-06-08 20:30:29 status half-installed libssl1.0.0:amd64 1.0.1k-3+deb8u5
2016-06-08 20:30:29 status unpacked libssl1.0.0:amd64 1.0.1t-1+deb8u2
2016-06-08 20:30:29 status unpacked libssl1.0.0:amd64 1.0.1t-1+deb8u2
2016-06-08 20:30:29 upgrade libidn11:amd64 1.29-1+b2 1.29-1+deb8u1
2016-06-08 20:30:29 status half-configured libidn11:amd64 1.29-1+b2
2016-06-08 20:30:29 status unpacked libidn11:amd64 1.29-1+b2
2016-06-08 20:30:29 status half-installed libidn11:amd64 1.29-1+b2
2016-06-08 20:30:29 status half-installed libidn11:amd64 1.29-1+b2
2016-06-08 20:30:29 status unpacked libidn11:amd64 1.29-1+deb8u1
2016-06-08 20:30:29 status unpacked libidn11:amd64 1.29-1+deb8u1
2016-06-08 20:30:29 upgrade libtasn1-6:amd64 4.2-3+deb8u1 4.2-3+deb8u2
2016-06-08 20:30:29 status half-configured libtasn1-6:amd64 4.2-3+deb8u1
2016-06-08 20:30:29 status unpacked libtasn1-6:amd64 4.2-3+deb8u1
2016-06-08 20:30:29 status half-installed libtasn1-6:amd64 4.2-3+deb8u1
2016-06-08 20:30:29 status half-installed libtasn1-6:amd64 4.2-3+deb8u1
2016-06-08 20:30:29 status unpacked libtasn1-6:amd64 4.2-3+deb8u2
2016-06-08 20:30:29 status unpacked libtasn1-6:amd64 4.2-3+deb8u2
2016-06-08 20:30:29 upgrade libxml2:amd64 2.9.1+dfsg1-5+deb8u1 2.9.1+dfsg1-5+deb8u2
2016-06-08 20:30:29 status half-configured libxml2:amd64 2.9.1+dfsg1-5+deb8u1
2016-06-08 20:30:29 status unpacked libxml2:amd64 2.9.1+dfsg1-5+deb8u1
